Player,Type,M,Inn,NO,Runs,HS,Avg,BF,SR,4s,6s,50s,100s,Value (0-10),Base Price (Crore Rs.),Selling Price (Crore Rs),Valuation (Crore Rs.),Difference (Crore Rs.)
Shreyas Gopal,all,45,19,6,164,24,12.62,157,104.46,17,1,0,0,5,0.2,0.75,1,0.25
Piyush Chawla,all,164,81,32,584,24,11.92,524,111.45,54,18,0,0,3,1,0,3,3
Rinku Singh,batsman,10,8,1,77,30,11,76,101.32,6,2,0,0,6,0.2,0.55,1.2,0.65
Ravichandran Ashwin,all,154,58,20,412,45,10.84,373,110.46,35,11,0,0,7,0,0,0,0
Chris Woakes,all,18,11,5,63,18,10.5,66,95.45,5,2,0,0,6,0,0,0,0
Prabhsimran Singh,WK,3,3,0,31,16,10.33,32,96.88,3,1,0,0,4,0.2,0.6,0.8,0.2
Vishnu Vinod,WK,3,3,0,19,9,6.33,26,73.08,1,1,0,0,4,0.2,0.5,0.8,0.3
Shivam Mavi,all,17,7,2,23,9,4.6,29,79.31,2,0,0,0,5,0.4,7.25,2,-5.25
Anukul Roy,all,1,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0.2,1,0.8
Harpreet Brar,all,3,1,1,20,20,0,12,166.67,2,1,0,0,5,0.2,3.8,1,-2.8
Shahbaz Ahmed,all,2,1,1,1,1,0,1,100,0,0,0,0,5.5,0,0,0,0
Daniel Sams,all,3,1,0,0,0,0,2,0,0,0,0,0,6,1,2.6,6,3.4
